,Unnamed: 0,Location,Industry,Subcategory_ID,Hierarchy_Level,Data_Type,Global_Brand_Owner,Unit,Year_text,Year_date,Year_minus_2016,Volume
0,1,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,AnheuserBusch InBev NV,million litres,2016.0,31-12-16,4.0,"35506,37732"
1,3,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Heineken NV,million litres,2016.0,"Saturday, 31 Dec 2016",4.0,"18482,5958"
2,5,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Carlsberg AS,million litres,2016.0,31-12-16,4.0,"11121,69868"
3,7,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Dragonyte Brewery,million litres,2016.0,31-Dec-16,4.0,"6252,38259"
4,9,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Tsingtao Brewery Co Ltd,million litres,2016.0,31 12 2016,4.0,"7834,494901"
5,11,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Asahi Group Holdings Ltd,million litres,2016.0,31 12 2016,4.0,"2446,943741"
6,13,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Beijing Yanjing Brewery Co Ltd,million litres,2016.0,31 12 2016,4.0,"5373,662882"
7,15,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Kirin Holdings Co Ltd,million litres,2016.0,"Sat, 31 December 2016",4.0,"4770,918623"
8,17,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Diageo Plc,million litres,2016.0,31-Dec-16,4.0,"1926,566783"
9,19,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,San Miguel Corp,million litres,2016.0,31-12-16,4.0,"1549,127299"
10,21,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Castel Groupe,million litres,2016.0,"Saturday, 31 Dec 2016",4.0,"1670,209463"
11,23,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Saigon Alcohol Beer  Beverages Corp Sabeco,million litres,2016.0,31 12 2016,4.0,"1242,829771"
12,25,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Cervejaria Petrpolis SA,million litres,2016.0,31-12-16,4.0,"1463,857554"
13,27,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Anadolu Group,million litres,2016.0,31-Dec-16,4.0,"2365,222039"
14,29,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Suntory Holdings Ltd,million litres,2016.0,31-12-16,4.0,"1622,630286"
15,31,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,OetkerGruppe,million litres,2016.0,31 12 2016,4.0,"1239,428524"
16,33,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,UB Group,million litres,2016.0,"Saturday, 31 Dec 2016",4.0,"1155,34743"
17,35,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Henan Jinxing Brewery Group,million litres,2016.0,"Saturday, 31 Dec 2016",4.0,"1629,870008"
18,37,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Guangzhou Zhujiang Brewery Co Ltd,million litres,2016.0,31 12 2016,4.0,"1174,469918"
19,39,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Grupo MahouSan Miguel SA,million litres,2016.0,31-12-16,4.0,"1036,747807"
20,41,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Boon Rawd Brewery Co Ltd,million litres,2016.0,31-12-16,4.0,"1185,850135"
21,43,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Thai Beverage PCL,million litres,2016.0,31-12-16,4.0,"757,9420818"
22,45,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Sapporo Holdings Ltd,million litres,2016.0,31-12-16,4.0,"771,7816623"
23,47,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Ca Cerveceras Unidas SA,million litres,2016.0,"Saturday, 31 Dec 2016",4.0,"733,1682916"
24,49,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Bitburger Braugruppe GmbH,million litres,2016.0,31 12 2016,4.0,"766,5057202"
25,51,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Hite Jinro Co Ltd,million litres,2016.0,31-Dec-16,4.0,"746,5450661"
26,53,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Oettinger Brauerei GmbH,million litres,2016.0,31-12-16,4.0,"711,0584311"
27,55,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Hanoi Alcohol Beer  Beverages Corp Habeco,million litres,2016.0,31 12 2016,4.0,"494,9522422"
28,57,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Obolon PAT,million litres,2016.0,"Sat, 31 December 2016",4.0,"1115,775319"
