,Location,Industry,Subcategory_ID,Hierarchy_Level,Data_Type,Global_Brand_Owner,Unit,Year_text,Year_date,Year_minus_2016,Volume
0,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,AnheuserBusch InBev NV,1000 litres,2016.0,31-12-16,4.0,35506377.32
1,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Heineken NV,1000 litres,2016.0,31-12-16,4.0,18482595.8
2,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Carlsberg AS,1000 litres,2016.0,31-12-16,4.0,11121698.68
3,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Dragonyte Brewery,1000 litres,2016.0,31-12-16,4.0,6252382.59
4,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Tsingtao Brewery Co Ltd,1000 litres,2016.0,31-12-16,4.0,7834494.901
5,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Asahi Group Holdings Ltd,1000 litres,2016.0,31-12-16,4.0,2446943.741
6,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Beijing Yanjing Brewery Co Ltd,1000 litres,2016.0,31-12-16,4.0,5373662.881999999
7,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Kirin Holdings Co Ltd,1000 litres,2016.0,31-12-16,4.0,4770918.623
8,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Diageo Plc,1000 litres,2016.0,31-12-16,4.0,1926566.783
9,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,San Miguel Corp,1000 litres,2016.0,31-12-16,4.0,1549127.2989999999
10,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Castel Groupe,1000 litres,2016.0,31-12-16,4.0,1670209.463
11,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Saigon Alcohol Beer  Beverages Corp Sabeco,1000 litres,2016.0,31-12-16,4.0,1242829.771
12,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Cervejaria Petrpolis SA,1000 litres,2016.0,31-12-16,4.0,1463857.554
13,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Anadolu Group,1000 litres,2016.0,31-12-16,4.0,2365222.0390000003
14,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,Suntory Holdings Ltd,1000 litres,2016.0,31-12-16,4.0,1622630.286
15,8.0,Alcoholic Drinks,13.0,1.0,Total Volume,OetkerGruppe,1000 litres,2016.0,31-12-16,4.0,1239428.524
