,Location,Industry,Subcategory_ID,Hierarchy_Level,Data_Type,Global_Brand_Owner,Unit,Year_text,Year_date,Year_minus_2016,Volume,competitors
0,8,Alcoholic Drinks,13,1,Total Volume,AnheuserBusch InBev NV,1000 litres,2016,31-12-16,4,35506377.32,rest of the competitors
1,8,Alcoholic Drinks,13,1,Total Volume,Heineken NV,1000 litres,2016,31-12-16,4,18482595.8,rest of the competitors
2,8,Alcoholic Drinks,13,1,Total Volume,Carlsberg AS,1000 litres,2016,31-12-16,4,11121698.68,rest of the competitors
3,8,Alcoholic Drinks,13,1,Total Volume,Dragonyte Brewery,1000 litres,2016,31-12-16,4,6252382.59,Dragonyte Brewery
4,8,Alcoholic Drinks,13,1,Total Volume,Tsingtao Brewery Co Ltd,1000 litres,2016,31-12-16,4,7834494.901,rest of the competitors
5,8,Alcoholic Drinks,13,1,Total Volume,Asahi Group Holdings Ltd,1000 litres,2016,31-12-16,4,2446943.741,rest of the competitors
6,8,Alcoholic Drinks,13,1,Total Volume,Beijing Yanjing Brewery Co Ltd,1000 litres,2016,31-12-16,4,5373662.882,rest of the competitors
7,8,Alcoholic Drinks,13,1,Total Volume,Kirin Holdings Co Ltd,1000 litres,2016,31-12-16,4,4770918.623,rest of the competitors
8,8,Alcoholic Drinks,13,1,Total Volume,Diageo Plc,1000 litres,2016,31-12-16,4,1926566.783,rest of the competitors
9,8,Alcoholic Drinks,13,1,Total Volume,San Miguel Corp,1000 litres,2016,31-12-16,4,1549127.299,rest of the competitors
10,8,Alcoholic Drinks,13,1,Total Volume,Castel Groupe,1000 litres,2016,31-12-16,4,1670209.463,rest of the competitors
11,8,Alcoholic Drinks,13,1,Total Volume,Saigon Alcohol Beer  Beverages Corp Sabeco,1000 litres,2016,31-12-16,4,1242829.771,rest of the competitors
12,8,Alcoholic Drinks,13,1,Total Volume,Cervejaria Petrpolis SA,1000 litres,2016,31-12-16,4,1463857.554,rest of the competitors
13,8,Alcoholic Drinks,13,1,Total Volume,Anadolu Group,1000 litres,2016,31-12-16,4,2365222.039,rest of the competitors
14,8,Alcoholic Drinks,13,1,Total Volume,Suntory Holdings Ltd,1000 litres,2016,31-12-16,4,1622630.286,rest of the competitors
15,8,Alcoholic Drinks,13,1,Total Volume,OetkerGruppe,1000 litres,2016,31-12-16,4,1239428.524,rest of the competitors
16,8,Alcoholic Drinks,13,1,Total Volume,UB Group,1000 litres,2016,31-12-16,4,1155347.43,rest of the competitors
17,8,Alcoholic Drinks,13,1,Total Volume,Henan Jinxing Brewery Group,1000 litres,2016,31-12-16,4,1629870.008,rest of the competitors
18,8,Alcoholic Drinks,13,1,Total Volume,Guangzhou Zhujiang Brewery Co Ltd,1000 litres,2016,31-12-16,4,1174469.918,rest of the competitors
19,8,Alcoholic Drinks,13,1,Total Volume,Grupo MahouSan Miguel SA,1000 litres,2016,31-12-16,4,1036747.807,rest of the competitors
20,8,Alcoholic Drinks,13,1,Total Volume,Boon Rawd Brewery Co Ltd,1000 litres,2016,31-12-16,4,1185850.135,rest of the competitors
21,8,Alcoholic Drinks,13,1,Total Volume,Thai Beverage PCL,1000 litres,2016,31-12-16,4,757942.0818,rest of the competitors
22,8,Alcoholic Drinks,13,1,Total Volume,Sapporo Holdings Ltd,1000 litres,2016,31-12-16,4,771781.6623,rest of the competitors
23,8,Alcoholic Drinks,13,1,Total Volume,Ca Cerveceras Unidas SA,1000 litres,2016,31-12-16,4,733168.2916,rest of the competitors
